,用户1,用户2,用户3,用户4,用户5
We Sing. We Dance. We Steal Things.,0,7,0,0,14
Viva La Vida,0,0,0,4,0
华丽的冒险,0,0,13,0,3
范特西,0,0,19,0,0
後。青春期的詩,0,12,0,0,0
是时候,14,0,0,0,0
Lenka,0,0,0,0,14
Start from Here,0,0,0,11,18
旅行的意义,0,6,0,0,0
太阳,0,0,9,0,17
Once (Soundtrack),4,0,0,0,3
Not Going Anywhere,0,14,0,12,0
American Idiot,0,0,0,0,0
思念是一种病,0,7,0,0,0
無與倫比的美麗,0,0,5,0,15
亲爱的...我还不知道,7,0,0,0,0
城市,0,0,0,0,13
O,0,0,0,0,14
Wake Me Up When September Ends,0,0,0,5,0
叶惠美,14,0,0,0,16
七里香,9,0,13,0,17
21,5,4,5,2,0
My Life Will...,20,0,0,0,0
寓言,2,0,16,0,0
你在煩惱什麼,12,0,0,17,0
感官/世界,8,0,13,2,0
Nevermind,0,0,0,0,0
八度空间,0,0,0,0,0
Jay,0,15,0,7,17
Parachutes,0,0,8,0,14
我要的幸福,0,4,0,0,0
还是会寂寞,0,0,9,0,11
Let Go,0,0,0,0,0
十一月的萧邦,0,0,0,0,0
橙月,0,11,12,13,0
小宇宙,17,0,9,0,0
若你碰到他,0,9,0,0,0
Lady & Bird,0,0,17,0,0
万能青年旅店,2,0,0,6,0
Meteora,0,9,16,0,15
Back To Bedlam,0,0,0,0,0
苏打绿,4,11,0,0,15
静茹&情歌 别再为他流泪,0,12,0,17,0
美妙生活,0,0,0,16,0
Le Fabuleux destin d'Amélie Poulain,0,0,0,5,17
Joanna & 王若琳,0,12,0,0,0
A Plea En Vendredi,0,20,0,0,0
To Hebe,0,0,9,19,0
逆光,20,0,15,0,16
只爱陌生人,0,0,0,0,19
Music For Tourists,0,0,0,3,0
The Moment,0,0,11,0,0
七,14,0,7,0,0
春·日光,15,0,0,11,0
100种生活,0,0,0,0,0
崇拜,0,2,20,0,0
陈绮贞精选,15,0,0,15,0
菊次郎の夏,0,0,0,6,13
Fearless,14,0,3,11,0
Life In Cartoon Motion,3,0,8,0,11
H³M,0,0,0,0,0
神秘嘉宾,0,0,0,4,0
Les Choristes,0,0,0,1,0
赤子,0,0,0,0,0
9,0,0,7,20,0
将爱,3,0,0,10,0
遇见我,0,14,2,0,6
梵高先生,0,0,12,0,0
Timeless 可啦思刻,18,0,6,0,0
依然范特西,0,0,0,1,4
风筝,5,0,0,0,4
完美的一天,0,18,0,0,16
Say I Am You,0,6,1,0,18
黑色柳丁,0,0,0,0,0
Under My Skin,0,0,0,0,0
Stefanie,0,0,18,0,17
The Fame,0,0,0,0,0
Mr. A-Z,0,0,12,20,0
为爱而生,0,0,0,0,0
Daniel Powter,0,0,0,0,0
I'm Yours,0,0,6,4,0
在动物园散步才是正经事,0,0,0,0,19
时光·漫步,18,0,0,13,0
生如夏花,0,0,0,0,2
我很忙,13,16,8,20,0
夏 / 狂热,0,0,0,0,0
绝世名伶,0,0,0,0,0
哼一首歌 等日落,0,0,0,0,12
未完成,0,0,0,0,0
OK Computer,0,0,0,0,0
Born to Die,0,0,0,0,0
The Wall,0,0,0,5,0
不要停止我的音乐,0,9,15,0,0
Hybrid Theory,13,0,0,0,11
MTV Unplugged in New York,0,0,4,6,0
After 17,0,0,0,12,0
In Between Dreams,10,0,0,0,17
神的孩子都在跳舞,0,16,0,4,0
离开地球表面Jump!,0,0,0,0,17
不想放手,0,0,0,0,0
